,OFFSET,DURATION,MANUAL ID,IN FILE,SAMPLE RATE
0,0.095782313,0.044988662,Unknown,nips4b_birds_trainfile001.wav,44100
1,0.220589569,0.243809524,Butbut_call,nips4b_birds_trainfile001.wav,44100
2,0.592108844,0.023219955,Erirub_call,nips4b_birds_trainfile001.wav,44100
3,0.825759637,0.026122449,Erirub_call,nips4b_birds_trainfile001.wav,44100
4,1.584761905,0.400544218,Butbut_call,nips4b_birds_trainfile001.wav,44100
5,2.265396825,0.02031746,Erirub_call,nips4b_birds_trainfile001.wav,44100
6,2.356825397,0.201723356,Parate_call,nips4b_birds_trainfile001.wav,44100
7,2.478730159,0.046439909,Erirub_call,nips4b_birds_trainfile001.wav,44100
8,3.601995465,0.236553288,Unknown,nips4b_birds_trainfile001.wav,44100
9,0.007256236,0.043537415,Sylmel_song,nips4b_birds_trainfile002.wav,44100
10,0.06675737,0.027573696,Sylmel_song,nips4b_birds_trainfile002.wav,44100
11,0.110294785,0.024671202,Sylmel_song,nips4b_birds_trainfile002.wav,44100
12,0.148027211,0.058049887,Sylmel_song,nips4b_birds_trainfile002.wav,44100
13,0.255419501,0.140770975,Sylmel_song,nips4b_birds_trainfile002.wav,44100
14,0.442630385,0.132063492,Sylmel_song,nips4b_birds_trainfile002.wav,44100
15,0.592108844,0.146575964,Sylmel_song,nips4b_birds_trainfile002.wav,44100
16,0.878004535,0.046439909,Sylmel_song,nips4b_birds_trainfile002.wav,44100
17,0,0.087074830,Sylcan_song,nips4b_birds_trainfile003.wav,44100
18,0.177052154,0.052244898,Sylcan_song,nips4b_birds_trainfile003.wav,44100
19,0.354104308,0.040634921,Sylcan_song,nips4b_birds_trainfile003.wav,44100
20,0.432471655,0.058049887,Sylcan_song,nips4b_birds_trainfile003.wav,44100
21,0.519546485,0.081269841,Sylcan_song,nips4b_birds_trainfile003.wav,44100
22,0.62984127,0.043537415,Sylcan_song,nips4b_birds_trainfile003.wav,44100
23,0.743038549,0.110294785,Sylcan_song,nips4b_birds_trainfile003.wav,44100
24,0.856235828,0.081269841,Sylcan_song,nips4b_birds_trainfile003.wav,44100
25,0.954920635,0.058049887,Sylcan_song,nips4b_birds_trainfile003.wav,44100
26,1.012970522,0.206077098,Petpet_song,nips4b_birds_trainfile003.wav,44100
27,1.050702948,0.06675737,Sylcan_song,nips4b_birds_trainfile003.wav,44100
28,1.187120181,0.075464853,Sylcan_song,nips4b_birds_trainfile003.wav,44100
29,1.320634921,0.055147392,Sylcan_song,nips4b_birds_trainfile003.wav,44100
30,1.47446712,0.052244898,Sylcan_song,nips4b_birds_trainfile003.wav,44100
31,1.54122449,0.133514739,Sylcan_song,nips4b_birds_trainfile003.wav,44100
32,1.8430839,0.130612245,Sylcan_song,nips4b_birds_trainfile003.wav,44100
33,1.967891156,0.08707483,Sylcan_song,nips4b_birds_trainfile003.wav,44100
34,2.510657596,0.249614512,Petpet_song,nips4b_birds_trainfile003.wav,44100
35,2.975056689,0.197369615,Petpet_song,nips4b_birds_trainfile003.wav,44100
36,3.181133787,0.203174603,Petpet_song,nips4b_birds_trainfile003.wav,44100
37,4.649795918,0.354104309,Petpet_song,nips4b_birds_trainfile003.wav,44100
